"","V1"
"1",2353.65806141719
"2",167.274712934843
"3",765.465764708502
"4",4243.49277393429
"5",431.981396354999
"6",107.787899318963
"7",633.229455528543
"8",232.212288259544
"9",418.164522084528
"10",398.168037778692
"11",1752.98931993819
"12",1292.8655126281
"13",1556.30429841494
"14",967.352101536902
"15",1094.35329605987
