"","Var","Importance","coef"
"1","wsec25p_any",100,"-9.04495774545495"
"2","poverty",83.5404215753155,"-7.5561983164568"
"3","school_rural",78.1390406045374,"7.06764650532429"
"4","midday_meals",77.6294833755085,"-7.02155734618804"
"5","library",59.7497847736122,"-5.40434886159537"
"6","bld_govt",47.8157260037686,"4.32492009000681"
"7","school_private",41.7373974206051,"-3.7751387555613"
"8","txtbkrecd",40.2501860545246,"3.64062134041019"
"9","bndrywall_other",37.5310864810794,"-3.39468034338681"
"10","fuel_cooking_7",36.1832004141497,"-3.27276482164128"
"11","kitshed_avail",35.8896458553703,"-3.24621298015226"
"12","water_tap",30.9132304210207,"-2.79609905807337"
"13","bld_incomp",26.5087098419826,"-2.39771269767757"
"14","water_well",24.5887406557893,"2.22405258588245"
"15","schres",23.5573964870514,"-2.13076809729263"
"16","bndrywall_none",18.9893006876403,"-1.71758645202394"
"17","secondary",18.5390924577444,"1.6768653758228"
"18","medinstr_english",17.7071940893936,"1.60162064549648"
"19","medinstr_urdu",17.27063419991,"-1.56213405385836"
"20","medchk",16.9890189518498,"-1.53666211617674"
"21","floor_material_7",16.3563165196357,"-1.47943454403575"
"22","approachbyroad",15.3615988041329,"1.38946289713589"
"23","smschildren",15.3611339202235,"-1.3894208486529"
"24","water_other",13.4990187627549,"-1.22099360057683"
"25","fuel_cooking_4",12.8563743735043,"1.16286678412358"
"26","households_w_latrine_6",12.6348094114522,"-1.14282636037275"
"27","medinstr_other",12.2260660673069,"-1.10585575930779"
"28","school_local",11.1215293170814,"-1.00595104369811"
"29","primary_only",10.0420605386876,"0.908313711764217"
"30","ppsec",9.71701285411234,"-0.878913335108173"
"31","ramps",9.24207787629996,"0.835955738738704"
"32","bndrywall_pucca",8.26424837900335,"0.747511621490254"
"33","fuel_cooking_5",8.06904689179763,"-0.729855758919913"
"34","n_married_couple_5",7.34206670401141,"0.664100817855418"
"35","ASER",6.86883052982781,"0.621296877299914"
"36","smcmem_parent",6.08532362577217,"-0.550429127166737"
"37","marg_hh_0_3_m",5.47321658732255,"0.495064396580359"
"38","toilet_g",5.02879872091783,"-0.45486705543625"
"39","fuel_cooking_10",4.91020142773114,"0.444139998282675"
"40","household_size_7",4.10753208950719,"0.371539016968566"
"41","rep_g",3.84046557940431,"0.347383004291533"
"42","school_other",3.46547663442282,"0.313465469272895"
"43","asset_10",3.39731384961865,"0.307300184478493"
"44","floor_material_3",3.29584476690597,"0.298122364139319"
"45","households_w_latrine_1",2.90882235845192,"0.26311640925074"
"46","household_size_5",2.86656094674521,"-0.25929388879865"
"47","clnotgood",2.85740024642341,"0.258465308708175"
"48","p60g5",2.84276140114791,"-0.257141233548336"
"49","n_married_couple_3",2.66164430041447,"-0.240759295657062"
"50","households_w_latrine_3",2.61690561394177,"0.236712707123098"
"51","roof_material_5",2.5937562662665,"0.234618861901945"
"52","marg_hh_0_3_f",2.20558896812891,"-0.19950935239808"
"53","schhrstch",2.15485421532916,"0.194920423103558"
"54","grade1_g",2.09347555309059,"0.189368758304542"
"55","wall_material_2",2.02302312932164,"-0.182996376978876"
"56","household_size_4",1.98416661721936,"-0.179481827743307"
"57","noinspect",1.8627399876649,"0.168498858737883"
"58","fuel_cooking_6",1.69507167667194,"-0.153333356165799"
"59","roof_material_8",1.6942734900073,"-0.15326116063974"
"60","marg_hh_3_6_m",1.63377676401891,"-0.147789266468765"
"61","grade5_g",1.4607117504334,"-0.132135635242177"
"62","households_w_latrine_5",1.33510826056899,"-0.120774871617133"
"63","source_lighting_6",1.28947082976637,"0.116646992173954"
"64","rel_age06_ma_notstated_rur",1.27292756207153,"-0.115150663098466"
"65","grade2_b",1.26649201149346,"0.114568571239446"
"66","grade3_b",1.25349411030433,"0.113392918531143"
"67","student_teacher_ratio",1.21454256240737,"0.109869773362449"
"68","roof_material_9",1.20853217831498,"-0.109326137568228"
"69","smcmeetings",1.20357682750735,"0.108877928929555"
"70","tch_total",1.18771413111575,"-0.10744315713814"
"71","grade2_g",1.16980565558563,"0.105823345796892"
"72","house_condition_residence2_4",1.12506879268156,"-0.101776922203664"
"73","source_drinking_water_8",1.08328215442708,"0.097997344738048"
"74","grade8_b",1.07415196634113,"-0.0971715244618063"
"75","grade1_b",1.07255521616977,"0.097027099324538"
"76","house_condition_residence2_2",1.05056676595811,"0.0950382566131977"
"77","source_drinking_water_7",1.02473651313253,"-0.0927019250586898"
"78","household_size_1",0.980310519598922,"-0.0886836194217378"
"79","grade8_g",0.928958005050613,"-0.0840388139313428"
"80","asset_5",0.866851272955729,"-0.0784212956313689"
"81","grade6_g",0.809135337232668,"-0.0732009223451191"
"82","source_lighting_5",0.806995153751884,"0.0730073439766704"
"83","source_drinking_water_10",0.784380198207429,"0.0709618342172777"
"84","grade4_b",0.781223097825637,"0.0706762762983314"
"85","wall_material_4",0.780339803076991,"0.070596382794883"
"86","grade5_b",0.745726674448027,"0.0674656451609097"
"87","households_w_latrine_2",0.708814414662702,"0.0641269524323876"
"88","f_06",0.699483971012647,"0.0632830191552191"
"89","house_condition_residence2_3",0.678657666295023,"0.0613992918373279"
"90","source_drinking_water_3",0.621702720297482,"-0.0562477496353262"
"91","house_structure_4",0.608280004252522,"-0.0550336726669434"
"92","main_hh_f",0.531151827197121,"-0.0480574732850405"
"93","roof_material_4",0.481141374354267,"-0.043534056506236"
"94","marg_ot_0_3_m",0.466445785598227,"0.0422048489311244"
"95","rel_age06_fe_notstated_rur",0.464451459757759,"0.0420244633025934"
"96","sc_g",0.457516772949,"0.0413972248577615"
