"","V1"
"1",2379.97929331602
"2",165.798706720678
"3",760.277586597118
"4",4335.89869954127
"5",442.830345777621
"6",118.364383541626
"7",664.013153513974
"8",232.995516910028
"9",428.985337697316
"10",312.831040389471
"11",1713.72206014821
"12",1277.63854136043
"13",1632.50783516528
"14",860.829376832339
"15",1094.7622769651
