"","V1"
"1",2345.65874090505
"2",218.134485361265
"3",759.388878141756
"4",4503.50606230641
"5",474.05520665274
"6",187.175669642911
"7",691.50180151221
"8",283.87358280793
"9",482.575339135061
"10",255.493123712798
"11",1687.99037230818
"12",1641.91251985757
"13",1795.38582835795
"14",2918.19625266495
"15",1303.20341881191
