"","V1"
"1",2580.15918546676
"2",194.146642304042
"3",754.18650822172
"4",4614.6901017976
"5",476.5710410591
"6",95.8593824685309
"7",642.875436460794
"8",235.955925166259
"9",365.455479327458
"10",227.340650570935
"11",3353.68440475943
"12",2787.68389059669
"13",2537.83799353316
"14",1193.62460994444
"15",1432.86223226264
